Layer	Feature	Classes/Functions	Android	iOS	WP7	BBy	J2ME	Moblin	MoRE	Sym	WinMo	Notes
C	Connections	maHttpFinish	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connections	maHttpGetResponseHeader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connections	maHttpSetRequestHeader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connections	maHttpSetRequestHeader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Debugging	maDumpCallStackEx	No	No	No	No	No	No	Yes	No	No	NONE
C	Debugging	maProtectMemory	No	No	No	No	No	No	Yes	No	No	NONE
C	Debugging	maReportCallStack	No	No	No	No	No	No	Yes	No	No	NONE
C	Debugging	maReportResourceInformation	No	Yes	No	No	No	No	No	No	No	NONE
C	Debugging	maSetMemoryProtection	No	No	No	No	No	No	Yes	No	No	NONE
C	Debugging	maWriteLog	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Dictionary	MAUtil::Dictionary Key, Storage	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Dictionary	MAUtil::Dictionary Key, Storage ::ConstIterator	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Dictionary	MAUtil::Dictionary Key, Storage ::DictNode	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Dictionary	MAUtil::Dictionary Key, Storage ::Iterator	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	MAUtil::BuffDownloader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	MAUtil::BuffDownloadListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	MAUtil::Downloader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	MAUtil::DownloadListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	Wormhole::HighLevelBinaryDownloader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	Wormhole::HighLevelHttpConnection	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	Wormhole::HighLevelImageDownloader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Download	Wormhole::HighLevelTextDownloader	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Event	maAlert	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Event	maGetEvent	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Event	maSyscallPanicsDisable	Yes	Yes	No	No	No	No	Yes	No	No	NONE
C	Event	maSyscallPanicsEnable	Yes	Yes	No	No	No	No	Yes	No	No	NONE
C++	Events	MAUtil::CloseListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Events	MAUtil::CustomEventListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Extensions	maInvokeExtension	No	No	No	No	No	No	No	No	No	NONE
HTML5	File	File*	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	Yes = W3C compliant
C++	File	FileLister	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileAvailableSpace	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileDate	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileDelete	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileExists	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileListClose	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileListNext	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileListStart	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileOpen	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileRead	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileReadToData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileRename	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileSeek	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileSize	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileTell	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileTotalSpace	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileTruncate	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileWrite	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maFileWriteFromData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maGetTextSize	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	File	maGetTextSizeW	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	File	Wormhole::FileUtil	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Font	maFontDelete	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Font	maFontGetCount	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Font	maFontGetName	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Font	maFontLoadDefault	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Font	maFontLoadWithName	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Font	maFontSetCurrent	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Framebuffer	maFrameBufferClose	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Framebuffer	maFrameBufferGetInfo	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Framebuffer	maFrameBufferInit	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maCreateDrawableImage	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maCreateImageFromData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maCreateImageRaw	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maDrawImage	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maDrawImageRegion	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maDrawRGB	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maDrawText	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maDrawTextW	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maFillRect	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maFillTriangleFan	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maFillTriangleStrip	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maGetClipRect	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maGetImageData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maGetImageSize	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maGetScrSize	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maLine	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maPlot	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maSetClipRect	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maSetColor	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maSetDrawTarget	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Graphics	maUpdateScreen	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Graphics	MAUtil::Point	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Graphics	MAUtil::Rect	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Input	MAUtil::CharInput	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Input	MAUtil::CharInputListener	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Internal	maCheckInterfaceVersion	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Internal	maIOCtl	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Internal	MAUtil::RefCounted	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
HTML5	Location	geolocation.clearWatch	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	Yes = W3C compliant
HTML5	Location	geolocation.getCurrentPosition	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	Yes = W3C compliant
HTML5	Location	geolocation.watchPosition	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	Yes = W3C compliant
C	Location	maLocationStart	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Location	maLocationStop	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::CloudMadeMapSource	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::GeoPoint	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::GeoPointDataSource	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::GeoPointLayer	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::GeoPointLayerRenderer	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::GoogleMapSource	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::IGeoPointDataSourceListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::IGeoPointLayerListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::ILayerListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::ILayerMapViewportListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::IMapCacheListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::IMapSourceListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::IMapViewportListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::Layer	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::LayerMapViewport	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::LonLatT MagnificationT	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::MagnificationType	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::MapCache	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::MapSource	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::MapTile	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::MapTileCoordinate	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::MapViewport	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::MapWidget	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::OpenStreetMapSource	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::PixelCoordinateT MagnificationT	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAP::TraceScope	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::Broadcaster T	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::Color	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::DateTime	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::Enumerator T	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::IEnumerable T	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::MemoryMgr	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::Queue T	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Maps	MAPUtil::TimeSpan	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	atanh	No	No	No	No	No	No	No	No	No	Support through IX_GUIDO
C	Math	cos	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	cosh	No	No	No	No	No	No	No	No	No	Support through IX_GUIDO
C	Math	dcmp	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	fcmp	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	sin	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	sinh	No	No	No	No	No	No	No	No	No	Support through IX_GUIDO
C	Math	sqrt	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	tan	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__adddf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__addsf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__divdf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__divsf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__extendsfdf2	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__fixdfsi	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__fixsfsi	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__fixunsdfsi	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__fixunssfsi	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__floatsidf	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__floatsisf	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__muldf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__mulsf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__negdf2	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__negsf2	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__subdf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__subsf3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Math	__truncdfsf2	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::AnimatedImage	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::CharDescriptor	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Charset	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::DefaultInputManager	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::EditBox	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::EditBoxListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Engine	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Font	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::Image	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	MAUI	MAUI::ImageGenerators	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
